,Name,FP
0,Justin Verlander,45.918
1,Shane Bieber,40.329
2,Max Fried,40.419
3,Brandon Woodruff,43.259
4,Julio Urias,39.76
5,Zac Gallen,42.782
6,Michael Wacha,37.059
7,Johnny Cueto,26.473
8,Jameson Taillon,35.547
9,Jose Berrios,36.853
10,Ranger Suarez,31.595
11,Hunter Greene,32.997
12,Hayden Wesneski,42.669
13,Mitch Keller,37.279
14,Kyle Bradish,23.759
15,Ryan Yarbrough,25.578
16,Aaron Judge,9.030699999999968
17,Yordan Alvarez,14.65290000000005
18,Jose Ramirez,10.428099999999995
19,Bo Bichette,9.122899999999984
20,Freddie Freeman,6.5578999999999645
21,Trea Turner,6.145499999999968
22,Bryce Harper,7.053399999999963
23,Kyle Tucker,10.919600000000015
24,George Springer,9.690399999999983
25,Rafael Devers,10.614800000000006
26,Vladimir Guerrero Jr.,10.673700000000004
27,Xander Bogaerts,9.059199999999983
28,Austin Riley,10.735400000000014
29,Ronald Acuna Jr.,10.4137
30,Anthony Rizzo,7.252899999999958
31,Michael Harris II,10.034799999999986
32,Eloy Jimenez,6.724199999999972
33,Randy Arozarena,8.037899999999953
34,Jose Abreu,5.601499999999979
35,Alex Bregman,11.320200000000021
36,Dansby Swanson,10.28290000000001
37,Willy Adames,15.457900000000077
38,Gunnar Henderson,4.991999999999983
39,Christian Yelich,11.365300000000019
40,Christian Walker,9.231399999999988
41,Kyle Schwarber,5.626099999999969
42,Justin Turner,5.568599999999978
43,Tommy Pham,8.958699999999975
44,Gleyber Torres,6.501099999999973
45,Vaughn Grissom,8.807499999999985
46,J.T. Realmuto,6.671799999999967
47,Adley Rutschman,4.577499999999982
48,Giancarlo Stanton,5.448999999999978
49,Rhys Hoskins,5.776199999999972
50,Will Smith,6.038799999999973
51,William Contreras,9.30079999999998
52,Oneil Cruz,6.728299999999964
53,Wander Franco,6.441099999999967
54,Andrew Vaughn,5.98069999999998
55,Max Muncy,4.887899999999977
56,Elvis Andrus,5.3893999999999735
57,Amed Rosario,8.108399999999962
58,Teoscar Hernandez,8.535299999999967
59,Stone Garrett,6.637199999999973
60,Anthony Santander,5.635899999999978
61,Daulton Varsho,6.7787999999999755
62,TJ Friedl,7.7582999999999505
63,Travis d'Arnaud,9.882499999999986
64,Steven Kwan,8.126099999999957
65,Oscar Gonzalez,8.931499999999987
66,Matt Olson,9.629899999999989
67,Hunter Renfroe,14.787500000000072
68,Matt Chapman,9.764199999999992
69,Ryan Mountcastle,4.670599999999984
70,Kyle Farmer,7.118299999999966
71,Cedric Mullins,4.7372999999999825
72,Alejandro Kirk,9.627599999999996
73,Josh Donaldson,5.218699999999977
74,Jean Segura,5.50209999999998
75,Trey Mancini,10.010900000000003
76,Ian Happ,10.036699999999994
77,Alex Verdugo,7.751099999999972
78,Josh Naylor,8.800299999999972
79,Andres Gimenez,8.968199999999976
80,Danny Jansen,9.262799999999988
81,Isiah Kiner-Falefa,4.093899999999988
82,Jonathan India,7.741199999999949
83,Alec Bohm,5.703099999999978
84,Jeremy Pena,10.661700000000009
85,J.D. Martinez,8.144999999999968
86,Kolten Wong,11.27600000000001
87,Ketel Marte,6.522499999999973
88,Manuel Margot,6.639099999999967
89,Andrew McCutchen,10.78740000000001
90,Bryan Reynolds,6.592399999999968
91,Harrison Bader,4.410299999999989
92,Rowdy Tellez,15.69940000000008
93,Trayce Thompson,5.697999999999973
94,Tyrone Taylor,11.46050000000002
95,Jorge Mateo,3.2743999999999933
96,Cody Bellinger,4.368999999999983
97,Gavin Lux,4.375399999999987
98,Rodolfo Castro,6.067199999999974
99,Robbie Grossman,7.099899999999971
100,Oswaldo Cabrera,4.824799999999984
101,David Peralta,6.713099999999968
102,Yoan Moncada,4.903899999999981
103,Myles Straw,4.954699999999983
104,Jake Fraley,9.224199999999984
105,Christopher Morel,7.230399999999971
106,Kike Hernandez,6.098499999999975
107,Yan Gomes,7.588399999999972
108,Sergio Alcantara,5.322399999999983
109,Triston Casas,6.818699999999968
110,AJ Pollock,4.635199999999984
111,Donovan Solano,6.344099999999975
112,Alfonso Rivas,6.938999999999977
113,Whit Merrifield,7.3355999999999675
114,Cal Mitchell,4.793699999999985
115,Emmanuel Rivera,7.034999999999973
116,Zach McKinstry,7.848299999999959
117,Bryson Stott,4.31429999999999
118,Austin Romine,4.473199999999986
119,Taylor Walls,4.036399999999985
120,Alejo Lopez,5.45819999999998
121,Rougned Odor,3.4657999999999927
122,Aledmys Diaz,11.67830000000003
123,Ben Gamel,5.162599999999978
124,Omar Narvaez,8.37839999999996
125,Carson Kelly,6.07869999999998
126,Jordan Luplow,7.09209999999997
127,Jose Siri,5.460199999999978
128,David Bote,7.948199999999967
129,Franmil Reyes,7.636499999999969
130,Geraldo Perdomo,3.6634999999999938
131,Nelson Velazquez,7.0528999999999735
132,Connor Wong,5.689799999999976
133,Yasmani Grandal,3.3234999999999952
134,Matt Vierling,4.217599999999989
135,Romy Gonzalez,3.9278999999999895
136,Jonathan Aranda,6.757399999999963
137,Jack Suwinski,5.507299999999978
138,Jason Delay,3.435499999999997
139,Dalton Guthrie,3.7344999999999917
140,Jace Peterson,10.486500000000007
141,Austin Hedges,5.147399999999986
142,Joey Gallo,4.6317999999999815
143,Francisco Mejia,6.378999999999974
144,Gavin Sheets,4.699399999999986
145,Michael Hermosillo,5.76619999999998
146,Cavan Biggio,7.6117999999999615
147,Terrin Vavra,2.9967999999999986
148,Kyle Stowers,3.3753999999999955
149,Christian Vazquez,8.648199999999973
150,Yainer Diaz,7.235499999999969
151,Matt Reynolds,5.228499999999979
152,Ji-Man Choi,5.11449999999998
153,Zack Collins,4.706199999999987
154,Yu Chang,5.935999999999977
155,Mauricio Dubon,6.8134999999999675
156,Kevin Newman,4.529599999999988
157,Kyle Higashioka,4.197399999999989
158,Will Brennan,6.103899999999978
159,CIN Ghost,5.37389999999998
160,HOU BP,10.412
161,CLE BP,8.892
162,ATL BP,9.958
163,MIL BP,9.991
164,LAD BP,11.765
165,ARI BP,7.291
166,BOS BP,8.286
167,CWS BP,10.337
168,NYY BP,11.793
169,TOR BP,10.677
170,PHI BP,13.958
171,CIN BP,13.358
172,CHC BP,10.291
173,PIT BP,12.41
174,BAL BP,11.865
175,TB BP,15.424
